Index,Region,Area,Asaltos,Poblacion,
129,Auckland Region,Tuff Crater,37,4790,
130,Auckland Region,Tamaki,37,5010,
131,Auckland Region,Fairdene,37,5060,
132,Auckland Region,Leabank,37,5760,
133,Waikato Region,Te Rapa,36,360,
134,Auckland Region,Newmarket,36,3740,
135,Auckland Region,Waiheke Island,36,8880,
136,Canterbury Region,Riccarton South,35,610,
137,Otago Region,South Dunedin,35,2530,
138,Auckland Region,Springleigh,35,3050,
139,Waikato Region,Turangi,35,3220,
140,Hawke's Bay Region,Te Mata,35,3790,
141,Northland Region,Dargaville,35,4830,
142,Wellington Region,Naenae North,35,4850,
143,Auckland Region,Harania West,35,5370,
144,Auckland Region,Papatoetoe East,35,6050,
145,Otago Region,Wanaka,35,7400,
146,Nelson Region,Broads,34,1590,
147,Gisborne Region,Outer Kaiti,34,2490,
148,Bay of Plenty Region,Trident,34,3350,
149,Auckland Region,Otara South,34,3830,
150,Tasman Region,Motueka West,34,3890,
151,Taranaki Region,Hawera South,34,4050,
152,Auckland Region,Freemans Bay,34,4280,
153,Waikato Region,Bader,34,4420,
154,Waikato Region,Tauhara,34,4430,
155,Auckland Region,Ferguson,34,4820,
156,Auckland Region,Three Kings,34,6100,
157,Manawatu-Wanganui Region,Palmerston North Hospital,33,2760,
158,Hawke's Bay Region,St Leonards,33,3030,
159,Wellington Region,Kilbirnie East,33,3230,
160,Wellington Region,Masterton East,33,3700,
161,Auckland Region,Fairburn,33,3810,
162,Canterbury Region,Addington,33,4040,
163,Auckland Region,Weymouth West,33,4630,
164,Hawke's Bay Region,Akina,33,4720,
165,Auckland Region,Point Chevalier East,33,4880,
166,Wellington Region,Newtown East,33,5370,
167,Waikato Region,Ngaruawahia,33,5810,
168,Auckland Region,Akarana,33,6360,
169,Northland Region,Regent,32,1750,
170,Otago Region,Fernhill,32,1860,
171,Canterbury Region,Mona Vale,32,2510,
172,Manawatu-Wanganui Region,Gonville South,32,3060,
173,Bay of Plenty Region,Tauranga South,32,4530,
174,Bay of Plenty Region,Te Puke East,32,4740,
175,Waikato Region,Nawton,32,4960,
176,Bay of Plenty Region,Mangakakahi,31,2570,
177,Taranaki Region,Westown,31,3570,
178,Canterbury Region,Aranui,31,4240,
179,Auckland Region,Kelston Central,31,5000,
180,Auckland Region,Clover Park,31,5030,
181,Auckland Region,Otara East,31,5150,
182,Auckland Region,Sturges North,31,7830,
183,Gisborne Region,Gisborne Airport,30,2890,
184,Bay of Plenty Region,Fordlands,29,1840,
185,Bay of Plenty Region,Yatton Park,29,2640,
186,Canterbury Region,Upper Riccarton,29,3300,
187,Canterbury Region,Woolston West,29,3590,
188,Canterbury Region,Rawhiti,29,3700,
189,Southland Region,Gladstone-Avenal,29,3800,
190,Canterbury Region,Ensors,29,3850,
191,Bay of Plenty Region,Palm Beach,29,3870,
192,Waikato Region,Maeroa,29,4020,
193,Canterbury Region,Hillmorton,29,4750,
194,Waikato Region,Waihi,29,4980,
195,Auckland Region,Point England,29,5050,
196,Auckland Region,Parnell West,29,5460,
197,Manawatu-Wanganui Region,Roslyn,29,5910,
198,Waikato Region,University,29,6270,
199,Northland Region,Raumanga East,28,1880,
200,Auckland Region,Panmure Basin,28,2970,
201,Canterbury Region,Papanui,28,3820,
202,Waikato Region,Chedworth,28,3900,
203,Bay of Plenty Region,Allandale-Mokorua,28,4020,
204,Hawke's Bay Region,Waipukurau,28,4060,
205,Waikato Region,Tuakau,28,4630,
206,Auckland Region,Puhinui North,28,4840,
207,Waikato Region,Swarbrick,28,5100,
208,Manawatu-Wanganui Region,Takaro,28,5470,
209,Auckland Region,Mission Bay,28,5840,
210,Canterbury Region,Sockburn,28,6760,
211,Northland Region,Paihia,27,1900,
212,Canterbury Region,Middleton,27,1930,
213,Wellington Region,Newtown West,27,3480,
214,Otago Region,Alexandra,27,5190,
215,Bay of Plenty Region,Omanu,27,5540,
216,Wellington Region,Mt Cook-Wallace Street,27,5650,
217,Auckland Region,Glenavon,27,7040,
218,Auckland Region,Donegal Park,27,8240,
219,Auckland Region,Mt Wellington Domain,26,1740,
220,Southland Region,Appleby-Kew,26,1960,
221,Manawatu-Wanganui Region,Taumarunui Central,26,2310,
222,Waikato Region,Te Awamutu South,26,3140,
223,Auckland Region,Mt Wellington North,26,3380,
224,Nelson Region,Isel Park,26,3440,
225,Waikato Region,Putaruru,26,3970,
226,Taranaki Region,Hawera North,26,4010,
227,Otago Region,Balclutha,26,4030,
228,Auckland Region,Grafton West,26,4190,
229,Hawke's Bay Region,Mayfair,26,4470,
230,Waikato Region,Whitianga,26,4650,
231,Waikato Region,Naylor,26,4800,
232,Manawatu-Wanganui Region,West End,26,4980,
233,Auckland Region,Sandringham West,26,5390,
234,Bay of Plenty Region,Brookfield,26,5430,
235,Bay of Plenty Region,Hillcrest,25,1630,
236,Auckland Region,Papakura South,25,1850,
237,Bay of Plenty Region,Glenholme West,25,2310,
238,Nelson Region,Grampians,25,2490,
239,Canterbury Region,New Brighton,25,2610,
240,Manawatu-Wanganui Region,Foxton,25,2750,
241,Canterbury Region,Bromley,25,3200,
242,Taranaki Region,Stratford West,25,3340,
243,Wellington Region,Naenae South,25,3580,
244,Auckland Region,Dannemora,25,4240,
245,Otago Region,Cromwell,25,4510,
246,Tasman Region,Richmond East,25,6330,
247,Wellington Region,Trentham South,24,1150,
248,Gisborne Region,Tamarau,24,2560,
249,Waikato Region,Te Awamutu East,24,3070,
250,Hawke's Bay Region,Lochain,24,3080,
251,Auckland Region,Otahuhu North,24,3110,
252,Manawatu-Wanganui Region,Highbury,24,3360,
253,Hawke's Bay Region,Kingsley-Chatham,24,3380,
254,Manawatu-Wanganui Region,Feilding West,24,3960,
255,Northland Region,Sherwood Rise,24,4170,
256,Canterbury Region,Edgeware,24,4300,
257,Waikato Region,Te Kuiti,24,4560,
258,Waikato Region,Melville,24,5140,
259,Auckland Region,Orakei North,24,5910,
260,Auckland Region,Kohuora,24,6630,
261,Auckland Region,Orewa,24,9170,
262,Auckland Region,Highbrook,23,40,
263,Wellington Region,Avalon East,23,2410,
264,Otago Region,Oamaru Central,23,2610,
265,Auckland Region,Paremoremo East,23,2880,
266,Marlborough Region,Picton,23,2920,
267,Wellington Region,Epuni West,23,3080,
268,Wellington Region,Taita South,23,3100,
269,Wellington Region,Elderslea,23,3360,
270,Canterbury Region,Ferrymead,23,3400,
271,Waikato Region,Beerescourt,23,3470,
272,Auckland Region,Sandringham North,23,3530,
273,Manawatu-Wanganui Region,Levin North,23,3640,
274,Bay of Plenty Region,Owhata West,23,3690,
275,Hawke's Bay Region,Mahora,23,3710,
276,Waikato Region,Matamata South,23,4510,
277,Manawatu-Wanganui Region,Marton,23,4780,
278,Auckland Region,Rosebank,23,5190,
279,Auckland Region,Glenfield Central,23,5210,
280,Auckland Region,Redoubt North,23,5460,
281,Auckland Region,Royal Heights,23,6700,
282,Nelson Region,Kirks,22,900,
283,Northland Region,Kawakawa,22,1390,
284,Auckland Region,Westgate,22,1450,
285,Southland Region,Georgetown,22,2420,
286,Auckland Region,Favona West,22,3010,
287,Auckland Region,Surrey Crescent,22,3240,
288,Bay of Plenty Region,Gate Pa,22,3270,
289,Waikato Region,Clarkin,22,3330,
290,Canterbury Region,Cashmere West,22,3380,
291,Wellington Region,Wilford,22,3430,
292,Northland Region,Tikipunga West,22,3480,
293,Auckland Region,Ponsonby East,22,3790,
294,Taranaki Region,Waitara West,22,3840,
295,Wellington Region,Waitangirua,22,4300,
296,Gisborne Region,Mangapapa,22,4610,
297,Canterbury Region,North Beach,22,4790,
298,Auckland Region,Takanini West,22,4910,
299,Otago Region,Caversham,22,4960,
300,Auckland Region,Avondale West,22,5400,
301,Auckland Region,Weymouth East,22,5540,
302,Marlborough Region,Redwoodtown,22,5620,
303,Manawatu-Wanganui Region,Castlecliff South,21,1320,
304,Manawatu-Wanganui Region,Taihape,21,1640,
305,Bay of Plenty Region,Murupara,21,1770,
306,Southland Region,Crinan,21,1860,
307,Canterbury Region,Kaikoura Township,21,2040,
308,Nelson Region,Tahunanui,21,2230,
309,Wellington Region,Elsdon-Takapuwahia,21,2370,
310,Wellington Region,Delaney,21,2540,
311,Waikato Region,Insoll,21,2850,
312,Manawatu-Wanganui Region,Dannevirke East,21,3050,
313,Waikato Region,Crawshaw,21,3150,
314,Bay of Plenty Region,Whakatane West,21,3290,
315,Auckland Region,Ranui Domain,21,3420,
316,Waikato Region,Te Awamutu Central,21,3560,
317,Auckland Region,Randwick Park,21,3840,
318,Auckland Region,Browns Bay,21,4510,
319,Auckland Region,Walmsley,21,4550,
320,Auckland Region,Hamlin,21,5620,
321,Wellington Region,Mt Victoria West,21,5970,
322,Auckland Region,Waimumu North,21,6340,
323,Auckland Region,Grange,20,700,
324,Southland Region,Central Gore,20,800,
325,Wellington Region,Petone Central,20,920,
326,Canterbury Region,Avonside,20,1890,
327,Bay of Plenty Region,Fairy Springs,20,2130,
328,Canterbury Region,Linwood North,20,2620,
329,West Coast Region,Greymouth South,20,2850,
330,Auckland Region,Owairaka West,20,2860,
331,Auckland Region,Helensville,20,2880,
332,Canterbury Region,Jellie Park,20,2940,
333,Canterbury Region,Rangiora North,20,3520,
334,Marlborough Region,Whitney,20,4470,
335,Wellington Region,Tawa Central,20,4600,
336,Canterbury Region,Hornby South,20,5350,
337,Auckland Region,Pukekohe West,20,7450,
338,West Coast Region,Greymouth Central,19,580,
339,Auckland Region,Arch Hill,19,1870,
340,Manawatu-Wanganui Region,Levin South,19,1920,
341,Northland Region,Otangarei,19,2110,
342,Canterbury Region,Richmond North,19,2380,
343,Hawke's Bay Region,Frimley,19,2410,
344,Hawke's Bay Region,Mclean Park,19,2440,
345,Wellington Region,Titahi Bay North,19,2580,
346,Otago Region,Mosgiel South,19,2790,
347,Hawke's Bay Region,Bluff Hill,19,2820,
348,Canterbury Region,Wainoni,19,2850,
349,Canterbury Region,Waimate,19,2920,
350,Waikato Region,Raglan,19,3070,
351,Auckland Region,Elsmore Park,19,3210,
352,Northland Region,Raumanga West,19,3240,
353,Auckland Region,Rowandale,19,3570,
354,Auckland Region,Favona South,19,3730,
355,Northland Region,Kamo East,19,3840,
356,Auckland Region,Oranga,19,4510,
357,Canterbury Region,St Albans East,19,4930,
358,Auckland Region,Fruitvale,19,4950,
359,Wellington Region,Carterton,19,5030,
360,Canterbury Region,Aorangi,19,5800,
361,Manawatu-Wanganui Region,Wanganui Central,18,1240,
362,Wellington Region,Esplanade,18,2510,
363,Waikato Region,Moanataiari,18,2520,
364,Auckland Region,Manurewa East,18,2720,
365,Canterbury Region,Islington,18,3170,
366,Waikato Region,Hikuai,18,3410,
367,Auckland Region,Rosehill,18,3550,
368,Auckland Region,Burbank,18,3770,
369,Canterbury Region,Shirley West,18,3900,
370,Wellington Region,Johnsonville Central,18,3920,
371,Northland Region,Marsden Point-Ruakaka,18,4010,
372,Wellington Region,Lansdowne,18,4130,
373,Waikato Region,Paeroa,18,4280,
374,Waikato Region,Parawai,18,4500,
375,Hawke's Bay Region,Raureka,18,4510,
376,Auckland Region,Viscount,18,4510,
377,Auckland Region,Papakura North East,18,4600,
378,Auckland Region,Hillsborough East,18,4870,
379,Auckland Region,Kaipatiki,18,5010,
380,Auckland Region,Greenmount,18,5130,
381,Auckland Region,Harania East,18,5630,
382,Canterbury Region,Barrington North,18,5770,
383,Auckland Region,Ellerslie North,18,6870,
384,Auckland Region,Target Road,18,7260,
385,Auckland Region,Ormiston,18,7310,
386,Auckland Region,Hillsborough West,18,8300,
387,Northland Region,Horahora,17,1160,
388,Tasman Region,Takaka,17,1290,
389,Wellington Region,Waiwhetu North,17,1460,
390,Auckland Region,Mt Hobson,17,1530,
391,Manawatu-Wanganui Region,Gonville West,17,1590,
392,Gisborne Region,Riverdale,17,2280,
393,Northland Region,Morningside,17,2350,
394,Wellington Region,Homedale West,17,2550,
395,Canterbury Region,Parkside,17,2580,
396,Waikato Region,Claudelands,17,2660,
397,Auckland Region,Beaumont,17,2660,
398,Auckland Region,Glen Innes East,17,3000,
399,Wellington Region,Lyall Bay-Airport-Moa Point,17,3150,
400,Bay of Plenty Region,Ngongotaha North,17,3250,
401,Auckland Region,Eden Terrace,17,3260,
402,Auckland Region,Waiuku West,17,3390,
403,Manawatu-Wanganui Region,Playford Park,17,3480,
404,Taranaki Region,Moturoa,17,3520,
405,Waikato Region,Whangamata,17,3710,
406,Auckland Region,Waiuku East,17,3790,
407,Waikato Region,Hilltop,17,3810,
408,West Coast Region,Westport Urban,17,4020,
409,Auckland Region,Onehunga North West,17,4030,
410,Auckland Region,Harania North,17,4190,
411,Waikato Region,Te Aroha,17,4200,
412,Auckland Region,Maungawhau,17,4270,
413,Waikato Region,Dinsdale South,17,4360,
414,Auckland Region,Glenfield North,17,4750,
415,Bay of Plenty Region,Kaimai,17,5640,
416,Auckland Region,Kingseat,17,6670,
417,Waikato Region,Cambridge Central,16,870,
418,Taranaki Region,Marsland Hill,16,1450,
419,Canterbury Region,Yaldhurst,16,1530,
420,Otago Region,Halfway Bush,16,1940,
421,Auckland Region,Massey Park,16,2050,
422,Wellington Region,Porirua East,16,2130,
423,Bay of Plenty Region,Pukehangi North,16,2260,
424,Hawke's Bay Region,Tamatea North,16,2600,
425,Canterbury Region,Hoon Hay,16,3050,
426,Wellington Region,Homedale East,16,3070,
427,Canterbury Region,Lyttelton,16,3090,
428,Auckland Region,Wesley,16,3290,
429,Manawatu-Wanganui Region,Awapuni North,16,3510,
430,Auckland Region,Otara West,16,3580,
431,Wellington Region,Glendale,16,3970,
432,Auckland Region,Epsom North,16,4030,
433,Northland Region,Kamo West,16,4040,
434,Tasman Region,Motueka East,16,4140,
435,Canterbury Region,Allenton East,16,4360,
436,Wellington Region,Aro Street-Nairn Street,16,4390,
437,Waikato Region,Dinsdale North,16,4420,
438,Manawatu-Wanganui Region,Hokowhitu West,16,4460,
439,Auckland Region,Warkworth,16,4490,
440,Auckland Region,Ferndale,16,4960,
441,Bay of Plenty Region,Te Maunga,16,5060,
442,Auckland Region,Balmoral,16,5990,
443,Auckland Region,Mt Albert Central,16,6220,
444,Auckland Region,Mcleod,16,6730,
445,Auckland Region,Wattle Farm,16,8010,
446,Auckland Region,Mangere Station,15,190,
447,Waikato Region,Tokanui,15,470,
448,Hawke's Bay Region,Ahuriri,15,1080,
449,Waikato Region,Coromandel,15,1610,
450,Gisborne Region,Wharekaka,15,1860,
451,Canterbury Region,Rangiora Central,15,2040,
452,Wellington Region,Brentwood,15,2190,
453,Southland Region,Waverley-Glengarry,15,2460,
454,Wellington Region,Solway North,15,2480,
455,Manawatu-Wanganui Region,Fordell-Kakatahi,15,2500,
456,Wellington Region,Arakura,15,2570,
457,Canterbury Region,Bexley,15,2590,
458,Auckland Region,St Johns,15,2910,
459,Auckland Region,New Lynn South,15,3060,
460,Auckland Region,Clendon North,15,3260,
461,Auckland Region,Pahurehure,15,3330,
462,Otago Region,Mornington,15,3390,
463,Otago Region,North Dunedin,15,3610,
464,Wellington Region,Cannons Creek East,15,3870,
465,Auckland Region,Remuera South,15,4240,
466,Auckland Region,Green Bay,15,4490,
467,Auckland Region,Abbotts Park,15,4640,
468,Auckland Region,Edgewater,15,4700,
469,Auckland Region,West Harbour,15,5320,
470,Waikato Region,Glenview,15,5730,
471,Auckland Region,Beachhaven North,15,5960,
472,Tasman Region,Richmond West,15,6600,
473,Auckland Region,Redoubt South,15,6990,
474,Manawatu-Wanganui Region,Spriggens Park,14,310,
475,Canterbury Region,Ashburton Central West,14,1050,
476,Northland Region,Moerewa,14,1570,
477,Wellington Region,Moera,14,1590,
478,Manawatu-Wanganui Region,Linton Military Camp,14,1660,
479,Auckland Region,Point Chevalier South,14,1790,
480,Waikato Region,Paraonui,14,1830,
481,Otago Region,Milton,14,1960,
482,Waikato Region,Matarawa,14,2080,
483,Wellington Region,Holborn,14,2140,
484,Taranaki Region,Spotswood,14,2170,
485,Waikato Region,Strathmore,14,2180,
486,Taranaki Region,Stratford East,14,2270,
487,Auckland Region,Parrs Park West,14,2320,
488,Auckland Region,Urlich,14,2570,
489,Bay of Plenty Region,Judea,14,2600,
490,Wellington Region,Mana-Camborne,14,2650,
491,Auckland Region,Red Hill,14,2730,
492,Waikato Region,Morrinsville West,14,2750,
493,Auckland Region,Karekare,14,2760,
494,Marlborough Region,Mayfield,14,2860,
495,Bay of Plenty Region,Bellevue,14,3760,
496,Bay of Plenty Region,Welcome Bay East,14,4160,
497,Canterbury Region,Temuka,14,4290,
498,Bay of Plenty Region,Katikati Community,14,4410,
499,Hawke's Bay Region,Taradale South,14,5580,
500,Manawatu-Wanganui Region,Milson,14,5800,
501,Auckland Region,Royal Oak,14,6120,
502,Otago Region,Caledonian,13,0,
503,Manawatu-Wanganui Region,Wanganui Collegiate,13,1180,
504,Northland Region,Vinetown,13,1640,
505,West Coast Region,Cobden,13,1670,
506,Waikato Region,Stanley Park,13,2150,
507,Auckland Region,Homai West,13,2330,
508,Wellington Region,Featherston,13,2360,
509,Southland Region,Strathern,13,2480,
510,Wellington Region,Boulcott,13,2570,
511,Waikato Region,Otorohanga,13,2640,
512,Manawatu-Wanganui Region,Papaeoia,13,2800,
513,Canterbury Region,Wharenui,13,2870,
514,Auckland Region,One Tree Hill Central,13,2900,
515,Manawatu-Wanganui Region,Feilding Central,13,2910,
516,Nelson Region,Washington,13,3100,
517,Otago Region,Bruce,13,3210,
518,Wellington Region,Titahi Bay South,13,3680,
519,Wellington Region,Heretaunga-Silverstream,13,3760,
520,Tasman Region,Golden Bay,13,3880,
521,Auckland Region,Pakuranga Central,13,3900,
522,Auckland Region,Red Beach East,13,4140,
523,Auckland Region,Waimumu South,13,4360,
524,Bay of Plenty Region,Bethlehem,13,4540,
525,Waikato Region,Morrinsville East,13,4740,
526,Auckland Region,Glendene North,13,4900,
527,Auckland Region,Mt St John,13,5210,
528,Auckland Region,Waikowhai East,13,5230,
529,Hawke's Bay Region,Onekawa West,12,300,
530,Otago Region,Forbury,12,970,
531,Manawatu-Wanganui Region,Raetihi,12,1080,
532,Taranaki Region,Patea,12,1150,
533,Waikato Region,Te Kauwhata,12,1630,
534,Auckland Region,Huapai,12,1740,
535,Northland Region,Taipa Bay-Mangonui,12,1840,
536,Canterbury Region,Richmond South,12,1990,
537,Canterbury Region,Wairarapa,12,2010,
538,Canterbury Region,Kaiapoi South,12,2170,
539,Waikato Region,Oruanui,12,2390,
540,Canterbury Region,Woolston South,12,2550,
541,Northland Region,Ngapuhi-Kaikou,12,2640,
542,Auckland Region,Royal Road West,12,3060,
543,Auckland Region,Mt Wellington West,12,3090,
544,Waikato Region,Matamata North,12,3110,
545,Bay of Plenty Region,Te Puke West,12,3180,
546,Waikato Region,Aotea,12,3180,
547,Canterbury Region,Opawa,12,3250,
548,Southland Region,Heidelberg,12,3430,
549,Otago Region,Brockville,12,3430,
550,Canterbury Region,Highfield,12,3490,
551,Auckland Region,Orakei South,12,3840,
552,Auckland Region,North Harbour East,12,4160,
553,Manawatu-Wanganui Region,Feilding North,12,4280,
554,Auckland Region,Northcote South,12,4570,
555,Auckland Region,Highland Park,12,4600,
556,Auckland Region,Woodglen,12,4920,
557,Auckland Region,Durham Green,12,4940,
558,Canterbury Region,Parklands,12,5050,
559,Wellington Region,Paraparaumu Beach South,12,5070,
560,Auckland Region,Lake Pupuke,12,5650,
561,Auckland Region,Unsworth Heights,12,6110,
562,Wellington Region,Otaki,12,6120,
563,Hawke's Bay Region,Greenmeadows,12,6730,
564,Bay of Plenty Region,Waiwhero,11,700,
565,Canterbury Region,Waltham,11,1140,
566,Hawke's Bay Region,Onekawa Central,11,1380,
567,Canterbury Region,Timaru Gardens,11,1590,
568,Waikato Region,Porritt,11,1940,
569,Taranaki Region,Eltham,11,2010,
570,Manawatu-Wanganui Region,Kowhai Park,11,2130,
571,Waikato Region,Pokeno,11,2130,
572,Wellington Region,Berhampore West,11,2610,
573,Wellington Region,Taita North,11,2750,
574,Bay of Plenty Region,Waiotahi,11,2800,
575,Wellington Region,Ascot Park,11,2830,
576,Waikato Region,Riverlea,11,2830,
577,Canterbury Region,Broomfield,11,2900,
578,Canterbury Region,Hampstead,11,2930,
579,Auckland Region,Cape Rodney South,11,3070,
580,West Coast Region,Hokitika Urban,11,3080,
581,Auckland Region,McLaren Park,11,3170,
582,Hawke's Bay Region,Parkvale,11,3250,
583,Waikato Region,Ohinemuri,11,3290,
584,Waikato Region,Grandview,11,3440,
585,Otago Region,Oamaru North,11,3480,
586,Auckland Region,Sunnybrae,11,3510,
587,Wellington Region,Paraparaumu Beach North,11,3690,
588,Gisborne Region,Whataupoko,11,3960,
589,Taranaki Region,Fitzroy,11,3980,
590,Wellington Region,Waterloo East,11,4370,
591,Auckland Region,Owairaka East,11,4670,
592,Canterbury Region,Orari,11,4800,
593,Otago Region,North East Valley,11,4900,
594,Canterbury Region,Lincoln,11,4910,
595,Auckland Region,St Lukes,11,5290,
596,Taranaki Region,Bell Block,11,5610,
597,Northland Region,Rehia-Oneriri,11,5870,
598,Auckland Region,Glen Innes North,11,6450,
599,Auckland Region,Blockhouse Bay,11,6660,
600,Auckland Region,Howick Central,11,6880,
601,Northland Region,Maungaturoto,10,860,
602,Manawatu-Wanganui Region,Ohakune,10,1080,
603,Auckland Region,Swanson,10,1360,
604,Manawatu-Wanganui Region,Lower Aramoho,10,1790,
605,Nelson Region,Bronte,10,1860,
606,Southland Region,Bluff,10,1870,
607,Taranaki Region,Welbourn,10,1960,
608,Bay of Plenty Region,Koutu,10,1990,
609,Wellington Region,Fernlea,10,2010,
610,Auckland Region,Windsor Park,10,2030,
611,Manawatu-Wanganui Region,Upper Aramoho,10,2050,
612,Manawatu-Wanganui Region,Castlecliff North,10,2080,
613,Gisborne Region,Kaiti North,10,2170,
614,Wellington Region,Wallaceville,10,2200,
615,Gisborne Region,East Cape,10,2630,
616,Wellington Region,Waiwhetu South,10,2670,
617,Canterbury Region,Casebrook,10,2730,
618,Bay of Plenty Region,Tikitere,10,2770,
619,Auckland Region,Favona North,10,2820,
620,Northland Region,Hokianga South,10,2830,
621,Canterbury Region,Redwood South,10,3080,
622,Wellington Region,Solway South,10,3170,
623,Manawatu-Wanganui Region,Mangaore-Manakau,10,3300,
624,Wellington Region,Kilbirnie West-Hataitai South,10,3390,
625,Auckland Region,Tangutu,10,3410,
626,Auckland Region,St Marys,10,3480,
627,Taranaki Region,Inglewood,10,3490,
628,Canterbury Region,Waimairi Beach,10,3520,
629,Southland Region,Kingswell-Clifton,10,3570,
630,Bay of Plenty Region,Papamoa Beach East,10,3740,
631,Wellington Region,Raumati South,10,3750,
632,Bay of Plenty Region,Welcome Bay West,10,3800,
633,Auckland Region,Point Chevalier West,10,3840,
634,Canterbury Region,Sumner,10,3870,
635,Auckland Region,Grey Lynn West,10,3870,
636,Auckland Region,Snells Beach,10,3890,
637,Canterbury Region,Marchwiel,10,4010,
638,Waikato Region,Hillcrest West,10,4030,
639,Manawatu-Wanganui Region,Westbrook,10,4270,
640,Canterbury Region,St Martins,10,4420,
641,Manawatu-Wanganui Region,Levin East,10,4520,
642,Canterbury Region,Belfast,10,4580,
643,Northland Region,Karikari Peninsula-Maungataniwha,10,4710,
644,Canterbury Region,Ilam,10,5450,
645,Auckland Region,Pakuranga East,10,5640,
646,Auckland Region,One Tree Hill East,10,6180,
647,Auckland Region,Manly,10,7160,
648,Canterbury Region,Hanmer Springs,9,900,
649,Canterbury Region,Maori Park,9,1050,
650,Gisborne Region,Makaraka,9,1300,
651,Otago Region,St Kilda Central,9,1770,
652,Northland Region,Waipu,9,1820,
653,Northland Region,Woodhill,9,1840,
654,Otago Region,Frankton,9,1980,
655,Bay of Plenty Region,Sunnybrook,9,2000,
656,Otago Region,Concord,9,2060,
657,Bay of Plenty Region,Glenholme East,9,2180,
658,Manawatu-Wanganui Region,Dannevirke West,9,2190,
659,Bay of Plenty Region,Rangiuru,9,2220,
660,Wellington Region,Ebdentown,9,2250,
661,Auckland Region,Ellerslie South,9,2280,
662,Northland Region,Onerahi,9,2350,
663,Canterbury Region,Bishopdale,9,2600,
664,Otago Region,St Kilda East,9,2720,
665,Bay of Plenty Region,Pongakawa,9,2780,
666,Waikato Region,Silverdale,9,2840,
667,Southland Region,Richmond,9,2910,
668,Bay of Plenty Region,Pukehangi South,9,2950,
669,Wellington Region,Trentham North,9,2960,
670,Nelson Region,The Wood,9,3010,
671,Otago Region,Oamaru South,9,3050,
672,Northland Region,Kaipara Coastal,9,3180,
673,Auckland Region,Ranui South,9,3330,
674,Canterbury Region,Sawyers Arms,9,3410,
675,Nelson Region,Langbein,9,3440,
676,Auckland Region,Waterview,9,3660,
677,Auckland Region,Edmonton,9,3720,
678,Wellington Region,Strathmore Park,9,3940,
679,Wellington Region,Kelburn,9,4010,
680,Bay of Plenty Region,Otumoetai North,9,4010,
681,Auckland Region,Onehunga South West,9,4160,
682,Auckland Region,Wakeling,9,4180,
683,Waikato Region,Otorohanga Rural East,9,4240,
684,Otago Region,St Clair,9,4390,
685,Canterbury Region,Wigram,9,4620,
686,Bay of Plenty Region,Minden,9,4750,
687,Canterbury Region,Waihao,9,4760,
688,Auckland Region,Westmere,9,5660,
689,Auckland Region,North Harbour West,9,5820,
690,Auckland Region,Beachlands-Maraetai,9,7450,
691,Waikato Region,Huntington,9,8630,
692,Otago Region,Harbourside,8,30,
693,Waikato Region,Amisfield,8,160,
694,Bay of Plenty Region,Ohinemutu,8,300,
695,Southland Region,Riverton East,8,460,
696,Waikato Region,Meremere,8,500,
697,Canterbury Region,Fairlie,8,730,
698,Waikato Region,Mangakino,8,780,
699,Nelson Region,Nayland,8,880,
700,Tasman Region,Riwaka,8,910,
701,Auckland Region,Parakai Urban,8,1120,
702,Manawatu-Wanganui Region,Shannon,8,1310,
703,Taranaki Region,Opunake,8,1390,
704,Manawatu-Wanganui Region,Woodville,8,1440,
705,Canterbury Region,Kaiapoi North West,8,1460,
706,Auckland Region,Ardmore,8,1470,
707,Hawke's Bay Region,Anderson Park,8,1540,
708,Southland Region,Mataura,8,1570,
709,Wellington Region,Cannons Creek South,8,1630,
710,Manawatu-Wanganui Region,Bulls,8,1630,
711,Bay of Plenty Region,Pomare,8,1700,
712,Canterbury Region,Deans Bush,8,1750,
713,Bay of Plenty Region,Edgecumbe,8,1750,
714,Nelson Region,Toi Toi,8,1810,
715,Auckland Region,Wellsford,8,1900,
716,Northland Region,Motutangi-Kareponia,8,1910,
717,Manawatu-Wanganui Region,Pahiatua,8,2480,
718,Canterbury Region,Rangiora East,8,2670,
719,Hawke's Bay Region,Tamatea South,8,2690,
720,Northland Region,Mangapa-Matauri Bay,8,2740,
721,Waikato Region,Waerenga,8,2770,
722,Auckland Region,Clevedon,8,2780,
723,Auckland Region,New Lynn North,8,2940,
724,Wellington Region,Epuni East,8,2990,
725,Auckland Region,Starling Park,8,3040,
726,Manawatu-Wanganui Region,Feilding East,8,3060,
727,Canterbury Region,Riccarton West,8,3210,
728,Auckland Region,Matipo,8,3290,
729,Canterbury Region,South Brighton,8,3340,
730,Canterbury Region,Styx Mill,8,3350,
731,Wellington Region,Kahutara,8,3350,
732,Auckland Region,Ambury,8,3500,
733,Auckland Region,Wade Heads,8,3570,
734,Wellington Region,Tawa South,8,3730,
735,Auckland Region,Drury,8,3870,
736,Canterbury Region,Somerfield,8,3890,
737,Northland Region,Wharekohe-Oakleigh,8,3890,
738,Auckland Region,Kauri Park,8,4190,
739,Auckland Region,Sunnyvale,8,4480,
740,Auckland Region,Birkenhead East,8,4570,
741,Auckland Region,Rewarewa,8,4800,
742,Auckland Region,Oaktree,8,4980,
743,Auckland Region,Te Atatu Central,8,5250,
744,Canterbury Region,Rutland,8,5360,
745,Auckland Region,Aorere,8,5990,
